hebrew,english
"ááéú äîùôè äòìéåï 7802/04ãðâ""õ áôðé:ëáåã äùåôè î' çùéï äòåúøéí:. ìàåøä îéìåà 1 . ãðéàì ùáúàé îéìåà2 ã â ð äîùéáéí:. ùø äáèçåï 1 . åòãú äôèåø îèòîé îöôåï2 . åòãú äòøø3",In the Supreme Court 7802/04 DNDC before:Honor Judge M. Hassin the Appeals:. Laura Melo 1. Daniel Satai Melo 2 DGN the Appeals:. Minister of Security 1. Commission of Discharge for reasons of conscience2. Commission of Appeals3
"ùðéúï òì2383/04òúéøä ì÷éåîå ùì ãéåï ðåñó òì ôñ÷-ãéðå ùì áéú äîùôè äòìéåï ááâ""õ 9.8.04-éãé ëá' äùåôèéí: à' îöà, à' ôøå÷ö'éä åà' à' ìåé áéåí òå""ã ñîãø áï-ðúï, òå""ã âáé ìñ÷é, òå""ã éåñéáùí äòåúøéí: ååìôñåï òå""ã òéðá âåìåîááùí äîùéáéí: äçìèä",The Supreme Court's judgment in BJC 9.8.04 was submitted by the Supreme Court's judgment in BJC 9.8.04 by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court.
"ùø ð' ìéàåøä îéìåà 2383/04òúéøä ì÷éåîå ùì ãéåï ðåñó ááâ""õ .äáéèçåï äòåúøú, àæøçéú éùøàì ëáú ùîåðä-òùøä, îñøáú .2 .2 ìäúâééñ ìöä""ì áðî÷ä àú ñéøåáä áèòðä ëé ""èòîéí ùáîöôåï îåðòéí îîðä îùøú á""öáà äëéáåù ùì îãéðú éùøàì"" äùåää","Mr. N. Liura Milo 2383/04Considered the existence of another debate in the BJC.The top security, a 18-year-old Israeli citizen, refuses 2.2.2 to join the Israeli Army in the removal of the rejection of the claim that “the flavours of conscience prevent her from serving in the “Observation Army of the State of Israel” residing."
"áéäåãä, áùåîøåï åáòæä. ìåìà ùäééúå ùì öä""ì áùéèçé éäåãä, ùåîøåï åòæä, äéúä äòåúøú ðëåðä ìùøú áöáà; åáìùåðä: ""àí äöáà éöà","In Judea, in Samaria and in Gaza. unless the Israelites were in the Seths of Judea, in Samaria and in Gaza, the headquarters would be right to serve in the army; and in the language: ""If the army came out,"
"àéï ìé áòéä ìäúâééñ... àðé îàîéðä ùöøéê ìäéåú öáà îäùèçéí áîãéðä"". äòåúøú ôðúä ìâåøîéí äîåñîëéí áá÷ùä ëé éôèøå àåúä àê á÷ùåúéä ðéãçå áäñúîê òì ääìëä äðåäâú îï äùéøåú äöáàé, - ÷øà: åìôéä ôèåø îèòîé îöôåï éëåì ùééðúï àê åø÷ ì""ñøáðéí îìàéí""","I don’t have a problem to join... I believe that there should be an army from the territories in the country.”The headquarters asked the authorized parties to let her be dismissed but her requests were rejected based on the practice of the military service, – read: and according to my conscience, a dismissal can only be given to “full deniers.”"
"ì""ñøáðéíìîúðâãéí ìùéøåú äöáàé áàùø ùéøåú öáàé äåà - åìà ñì÷èéáééí"" - ãåâîú äòåúøú - äîúðâãéí ìùéøåú îîðéòéí àéãéàåìåâééí, çáøúééí åôåìéèééí, áäí òåáãú äéîöàåúå ùì öä""ì .áùèçé éäåãä, ùåîøåï åòæä .3","“The rebels who are opposed to the military service in terms of military service are – not selectives” – the example of the title – who are opposed to the service from ideological, social and political motives, in which the existence of the Islamic State in the territories of Judea, Samurai and Gaza occurs."
"äòåúøú òúøä ìáâ""õ áèòðä ëé æëàéú äéà ìôèåø .5 1 2 9 3 7 13 .4 ìçå÷ ùéøåú áèçåï 39îùéøåú áéèçåï îëåçä ùì äåøàú ñòéó (, äî÷ðä ôèåø îùéøåú äçå÷ àå çå÷ ùéøåú áéèçåï ) 1986îùåìá ì""àéùä ùäåëéçä ... ëé èòîéí ùáîöôåï àå èòîéí ùáäååé îùôçúé","The headquarters appealed to the BCH in the claim that it is entitled to be exempt.5 1 2 9 3 7 13.4 of the Security Service Act 39 Security Service from the power of the provisions of Article (, giving exempt from the Law Service or the Security Service Act ) 1986 combined with ""woman who has proven... that flavours in conscience or flavours in family"
"ãúé îåðòéí àåúä îìùøú áùéøåú áèçåï..."". äåëç áòìéì - ëê èòðä äòåúøú - ëé ""èòîéí ùáîöôåï"" àëï îåðòéí àåúä îùøú áöä""ì, ìà ëôøä åëîñ÷ðä ðãøùú îëàï æëàéú äéà ìôèåø ùáçå÷. äòåúøú áäáçðä ùáéï ""ñøáðåú îìàä"" ìáéï ""ñøáðåú ñì÷èéáéú"" - ìàîåø, ëé","This is why it is not necessary to do so, but it is not necessary to do so; it is not necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so."
"""ñøáðåú îìàä"" òùåéä ìôèåø îùéøåú öáàé áùì ""èòîéí ùáîöôåï"" áòåã ù""ñøáðåú ñì÷èéáéú"" àéðä ñøáðåú äîåìéëä ìôèåø îùéøåú ùì âáøéí äæåëéí öáàé - àê ìèòðúä úåôùú äáçðä æå ø÷ ìòðééðí ìçå÷ - ùàéðå î÷ðä ôèåø 36ìôèåø îùéøåú áéèçåï îëåçå ùì ñòéó","""Full refusal"" may be exempt from military service because of ""conscious tastes"" while ""selective refusal"" is not a refusal that leads to the exemption from military service of men winning - but it claims that this distinction is only for their affairs with the law - which does not give a exemption from security service by the force of the article 36"
"çå÷é åîôåøù îèòîé îöôåï - åàéï ìä úå÷ó ìòðééðï ùì ðùéí äæåëåú ìçå÷ äîãáø îôåøùåú áôèåø áùì ""èòîéí 39ìôèåø îëåç ñòéó "". äòåúøú èòðä àôåà ëé çå÷ ùéøåú áéèçåï î÷ðä ìä - ùáîöôåï áäéåúä àéùä - ôèåø îèòîé îöôåï áàùø èòîé îöôåï äí, åëê ììà","'Legally and explicitly for reasons of conscience - and it does not apply to the affairs of the winners of the Desert Law explicitly withdrawal because of ""smack 39to withdrawal from the force of section "" The applicant thus claims that the law of security service gives her - in conscience as a woman - exemption from the reasons of conscience in which the flavours of conscience are, and thus without'"
