hebrew,english
"בבית המשפט העליון 7802/04דנג""ץ בפני:כבוד השופט מ' חשין העותרים:. לאורה מילוא 1 . דניאל שבתאי מילוא2 ד ג נ המשיבים:. שר הבטחון 1 . ועדת הפטור מטעמי מצפון2 . ועדת הערר3",In the Supreme Court 7802/04 DNDC before:Honor Judge M. Hassin the Appeals:. Laura Melo 1. Daniel Satai Melo 2 DGN the Appeals:. Minister of Security 1. Commission of Discharge for reasons of conscience2. Commission of Appeals3
"שניתן על2383/04עתירה לקיומו של דיון נוסף על פסק-דינו של בית המשפט העליון בבג""ץ 9.8.04-ידי כב' השופטים: א' מצא, א' פרוקצ'יה וא' א' לוי ביום עו""ד סמדר בן-נתן, עו""ד גבי לסקי, עו""ד יוסיבשם העותרים: וולפסון עו""ד עינב גולומבבשם המשיבים: החלטה",The Supreme Court's judgment in BJC 9.8.04 was submitted by the Supreme Court's judgment in BJC 9.8.04 by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court's judgment by the Supreme Court.
"שר נ' ליאורה מילוא 2383/04עתירה לקיומו של דיון נוסף בבג""ץ .הביטחון העותרת, אזרחית ישראל כבת שמונה-עשרה, מסרבת .2 .2 להתגייס לצה""ל בנמקה את סירובה בטענה כי ""טעמים שבמצפון מונעים ממנה משרת ב""צבא הכיבוש של מדינת ישראל"" השוהה","Mr. N. Liura Milo 2383/04Considered the existence of another debate in the BJC.The top security, a 18-year-old Israeli citizen, refuses 2.2.2 to join the Israeli Army in the removal of the rejection of the claim that “the flavours of conscience prevent her from serving in the “Observation Army of the State of Israel” residing."
"ביהודה, בשומרון ובעזה. לולא שהייתו של צה""ל בשיטחי יהודה, שומרון ועזה, היתה העותרת נכונה לשרת בצבא; ובלשונה: ""אם הצבא יצא","In Judea, in Samaria and in Gaza. unless the Israelites were in the Seths of Judea, in Samaria and in Gaza, the headquarters would be right to serve in the army; and in the language: ""If the army came out,"
"אין לי בעיה להתגייס... אני מאמינה שצריך להיות צבא מהשטחים במדינה"". העותרת פנתה לגורמים המוסמכים בבקשה כי יפטרו אותה אך בקשותיה נידחו בהסתמך על ההלכה הנוהגת מן השירות הצבאי, - קרא: ולפיה פטור מטעמי מצפון יכול שיינתן אך ורק ל""סרבנים מלאים""","I don’t have a problem to join... I believe that there should be an army from the territories in the country.”The headquarters asked the authorized parties to let her be dismissed but her requests were rejected based on the practice of the military service, – read: and according to my conscience, a dismissal can only be given to “full deniers.”"
"ל""סרבניםלמתנגדים לשירות הצבאי באשר שירות צבאי הוא - ולא סלקטיביים"" - דוגמת העותרת - המתנגדים לשירות ממניעים אידיאולוגיים, חברתיים ופוליטיים, בהם עובדת הימצאותו של צה""ל .בשטחי יהודה, שומרון ועזה .3","“The rebels who are opposed to the military service in terms of military service are – not selectives” – the example of the title – who are opposed to the service from ideological, social and political motives, in which the existence of the Islamic State in the territories of Judea, Samurai and Gaza occurs."
"העותרת עתרה לבג""ץ בטענה כי זכאית היא לפטור .5 1 2 9 3 7 13 .4 לחוק שירות בטחון 39משירות ביטחון מכוחה של הוראת סעיף (, המקנה פטור משירות החוק או חוק שירות ביטחון ) 1986משולב ל""אישה שהוכיחה ... כי טעמים שבמצפון או טעמים שבהווי משפחתי","The headquarters appealed to the BCH in the claim that it is entitled to be exempt.5 1 2 9 3 7 13.4 of the Security Service Act 39 Security Service from the power of the provisions of Article (, giving exempt from the Law Service or the Security Service Act ) 1986 combined with ""woman who has proven... that flavours in conscience or flavours in family"
"דתי מונעים אותה מלשרת בשירות בטחון..."". הוכח בעליל - כך טענה העותרת - כי ""טעמים שבמצפון"" אכן מונעים אותה משרת בצה""ל, לא כפרה וכמסקנה נדרשת מכאן זכאית היא לפטור שבחוק. העותרת בהבחנה שבין ""סרבנות מלאה"" לבין ""סרבנות סלקטיבית"" - לאמור, כי","This is why it is not necessary to do so, but it is not necessary to do so; it is not necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so; it is necessary to do so."
"""סרבנות מלאה"" עשויה לפטור משירות צבאי בשל ""טעמים שבמצפון"" בעוד ש""סרבנות סלקטיבית"" אינה סרבנות המוליכה לפטור משירות של גברים הזוכים צבאי - אך לטענתה תופשת הבחנה זו רק לעניינם לחוק - שאינו מקנה פטור 36לפטור משירות ביטחון מכוחו של סעיף","""Full refusal"" may be exempt from military service because of ""conscious tastes"" while ""selective refusal"" is not a refusal that leads to the exemption from military service of men winning - but it claims that this distinction is only for their affairs with the law - which does not give a exemption from security service by the force of the article 36"
"חוקי ומפורש מטעמי מצפון - ואין לה תוקף לעניינן של נשים הזוכות לחוק המדבר מפורשות בפטור בשל ""טעמים 39לפטור מכוח סעיף "". העותרת טענה אפוא כי חוק שירות ביטחון מקנה לה - שבמצפון בהיותה אישה - פטור מטעמי מצפון באשר טעמי מצפון הם, וכך ללא","'Legally and explicitly for reasons of conscience - and it does not apply to the affairs of the winners of the Desert Law explicitly withdrawal because of ""smack 39to withdrawal from the force of section "" The applicant thus claims that the law of security service gives her - in conscience as a woman - exemption from the reasons of conscience in which the flavours of conscience are, and thus without'"
"הבחנה בין טעם לטעם - בין ""סרבנות מלאה"" לבין ""סרבנות סלקטיבית"". די לה לטענתה, שתוכיח כי טעמי מצפון - כל טעמי מצפון שהם - מונעים ממנה משרת שירות ביטחון, וזכאית היא לפטור משירות ביטחון.","Difference between taste and taste - between ""full rejection"" and ""selective rejection.""It is enough for her claim, which proves that the flavours of conscience - all the flavours of conscience they are - prevent her from serving a security service, and she is entitled to be exempt from the security service."
"בית-המשפט, מפי השופטת פרוקצ'יה ובהסכמת המשנה .4 .5 לנשיא השופט מצא והשופט לוי, בחן את טענות העותרת לעומקן, ניתח את הוראות החוק ואת ההלכה הפסוקה, פירש את שנדרש לפירוש, . טעם הדחיה, בתמצית: עקרון השוויוןולסוף החליט לדחות את העתירה","The court, according to the judge Proccia and in the subconsensus.4.5 to the president of the judge found and the judge Levi, examined the allegations in depth, analyzed the provisions of the law and the passage of the passage, explained what was required to interpret,."
"מחייב הנהגת שוויון בין גברים לבין נשים במתן פטור משירות צבאי המייסד עצמו על טעמי מצפון, וכנדרש מכך יש לפרש את החוק כקובע כי עניינן של נשים המסרבות לשרת מטעמי מצפון אידיאולוגיים מוסדר 12 לחוק. וכאמור בפסקה 36 הוא - בדומה לגברים - דווקא בסעיף אף","The rule of law requires equality between men and women in giving exemption from the military service the founder himself on the taste of conscience, and it requires that the law be interpreted as stipulating that the interest of women refusing to serve for ideological reasons is regulated by the law."
"לפסק הדין: ערך השוויון המהותי מצדיק, איפוא, התייחסות שוויונית בין גבר לאשה בהפעלת סמכות שר לחוק לפטור יוצא צבא 36פי סעיף הבטחון על משירות בשל טעמי מצפון. כך הוא באשר להחלת הפטור על סרבנות מצפון כללית, וכך הוא באשר לאי החלת הפטור על סרבנות","The judgment: the value of substantial equality justifies, therefore, the equal treatment between a man and a woman in the exercise of the authority of the minister to the law for the exemption of the army 36a Section of security on service due to the tastes of conscience. so it is in relation to the application of the exemption on general conscience refusal, and so it is in relation to the application of the exemption on refusal"
"נסלקטיבית. אשר לפטור משירות ביטחון הניתן לאישה מ""טעמים שבמצפון"" שלחוק, פטור זה לא נועד לטעמי-מצפון אידיאולוגיים 39כהוראת סעיף ומדיניים, אלא לטעמי מצפון שמקורם במינהגי דת, במסורת או בהווי .משפחתי המונעים מאישה, באשר היא אישה, משרת שירות צבאי","This exemption is not intended for the ideological and political senses, but for the senses of the conscience that arise from religious customs, tradition or existence."
"(:13ובלשונה של השופטת פרוקצ'יה )בפסקה הפטור משירות צבאי הנתון לאשה על פי מטעמי מצפון או על רקע הווי 39סעיף משפחתי דתי, נועד ביסודו להכיר ולכבד את מניעותן של נשים מלשרת במסגרת הצבא על רקע תפיסות דת, מנהגים ומסורות עדתיות","In the sentence of the exemption from military service given to a woman on the grounds of conscience or on the grounds of a religious family section, it is essentially intended to recognize and respect the motivation of women to serve within the army on the grounds of religious concepts, customs and religious traditions."
"פטור ""מטעמי מצפון"" אליהן הן משתייכות. בהקשר המיוחד של הוראה זו קשור קשר הדוק עם טעמים שבהכרה דתית, מסורתית או מינהגית – עדתית, המונעים מאשה מלשרת שירות בטחון באשר הוא שירות בטחון.","In the special context of this provision is linked closely to flavours in religious, traditional or religious consciousness, which prevent a woman from serving a security service in which it is a security service."
"ובסיכום אותה פיסקה בעוד סמכות הפטור הכללית על פי סעיף לחוק עוסקת במצבים של סרבנות מלאה או36 לגבר ולאשה המשותפים סלקטיבית מטעמים בלא הבדל, המתאפיינים ביסודות אידיאולוגיים, פוליטיים, חברתיים, או טעמים שבמחוייבות מוסרית אישית, הפטור לאשה","In conclusion, whereas the authority of the general exemption according to a section of the law concerns the situations of complete refusal to the man and the woman which are selectively shared for reasons without distinction, characterized by ideological, political, social, or tastes in personal moral obligation, the exemption to the woman"
"מתאפיין בהיותו 39מכח הדין על פי סעיף עניינו בטעמים לאשה באשר היא אשה. מיוחד הקשורים במסורת, מינהגים, אמונות ואורחות חיים דתיים ועדתיים. הוא נובע מההכרה בדבר הצורך להבין ולכבד תפיסות דתיות ומסורתיות של קהילות שונות בציבור הישראלי","Specifically related to tradition, customs, beliefs and religious and religious lifestyle. It is derived from the recognition of the need to understand and respect the religious and traditional concepts of different communities in the Israeli public."
"בהתייחסותן למעמד האשה בעדה ובמשפחה ... )ההדגשה במקור - מ' ח'( ולעניינה של העותרת: טעמיה לסירוב לשרת בצבא אינם .5 .6 לחוק(, ומקורם אף 36עולים כדי ""סרבנות מלאה"" )כנדרש מכוח סעיף","In reference to the status of the woman in her and in the family... )the emphasis originally - M.H. ( and the matter of the headline: the taste of refusal to serve in the army is not.5.6 of the law, and originates even 36 of the ""full refusal"" as required by the force of the article"
"39אינו במינהגי דת, במסורת או באורחות חיים )כנדרש בהוראת סעיף לחוק(. והמסקנה: אין העותרת זכאית לפטור משירות - לא מכוחו של לחוק. עתירתה של העותרת 39 של סעיף אף לא מכוחו 36סעיף נדחתה אפוא.","It is not in religious habits, traditions or ways of life (as required in the provisions of a section of the law) and the conclusion: the subject has no right to be exempt from service - not from the force of the law."
"ועתירתההעותרת אינה משלימה עם תוצאת פסק הדין, .6 .7 עתה היא כי אורה על קיומו של דיון נוסף בפסק הדין אשר ""חולל מהפכה של ממש בפרשנות הנהוגה מזה שנים ... ביחס לפטורים (. לטענתה של 1הניתנים לנשים מחובת שירות ביטחון"" )סעיף","The judgment is not complementary to the outcome of the judgment,.6.7 now is that it shows the existence of a further discussion in the judgment that “proves a real revolution in the interpretations of the practice for years... in relation to exemptions (."
